,period,v_t,v_hi,v_lo,bid,ask
0,2017-09-01 00:00:00+00:00,523300.0,523300.0,523300.0,523300.0,523400.0
1,2017-09-01 00:01:00+00:00,523422.0,523422.0,523422.0,523137.0,523422.0
2,2017-09-01 00:02:00+00:00,523260.0,523260.0,523260.0,523260.0,523421.0
3,2017-09-01 00:03:00+00:00,523421.0,523421.0,523421.0,523214.0,523421.0
4,2017-09-01 00:04:00+00:00,523422.0,523422.0,523422.0,523421.0,523422.0
5,2017-09-01 00:05:00+00:00,523550.0,523550.0,523550.0,523501.0,523605.0
6,2017-09-01 00:06:00+00:00,523820.0,523820.0,523820.0,523715.0,523800.0
7,2017-09-01 00:07:00+00:00,524000.0,524000.0,524000.0,523900.0,524000.0
8,2017-09-01 00:08:00+00:00,524089.0,524089.0,524089.0,524000.0,524089.0
9,2017-09-01 00:09:00+00:00,524002.0,524002.0,524002.0,524002.0,524195.0
10,2017-09-01 00:10:00+00:00,524000.0,524000.0,524000.0,524001.0,524218.0
11,2017-09-01 00:11:00+00:00,524002.0,524002.0,524002.0,524002.0,524217.0
12,2017-09-01 00:12:00+00:00,523900.0,523900.0,523900.0,523705.0,524217.0
13,2017-09-01 00:13:00+00:00,524262.0,524262.0,524262.0,524000.0,524211.0
14,2017-09-01 00:14:00+00:00,524246.0,524246.0,524246.0,524246.0,524262.0
15,2017-09-01 00:15:00+00:00,524354.0,524354.0,524354.0,524220.0,524371.0
16,2017-09-01 00:16:00+00:00,524407.0,524407.0,524407.0,524407.0,524500.0
17,2017-09-01 00:17:00+00:00,524402.0,524402.0,524402.0,524584.0,524754.0
18,2017-09-01 00:18:00+00:00,524820.0,524820.0,524820.0,524820.0,524900.0
19,2017-09-01 00:19:00+00:00,524881.0,524881.0,524881.0,524800.0,524881.0
20,2017-09-01 00:20:00+00:00,524981.0,524981.0,524981.0,524801.0,524940.0
21,2017-09-01 00:21:00+00:00,524800.0,524800.0,524800.0,524803.0,524981.0
22,2017-09-01 00:22:00+00:00,524909.0,524909.0,524909.0,524882.0,524909.0
23,2017-09-01 00:23:00+00:00,525110.0,525110.0,525110.0,524821.0,525110.0
24,2017-09-01 00:24:00+00:00,525200.0,525200.0,525200.0,525162.0,525200.0
25,2017-09-01 00:25:00+00:00,525250.0,525250.0,525250.0,525201.0,525250.0
26,2017-09-01 00:26:00+00:00,525096.0,525096.0,525096.0,525001.0,525242.0
27,2017-09-01 00:27:00+00:00,525281.0,525281.0,525281.0,525241.0,525281.0
28,2017-09-01 00:28:00+00:00,525286.0,525286.0,525286.0,525286.0,525291.0
29,2017-09-01 00:29:00+00:00,525600.0,525600.0,525600.0,525410.0,525600.0
30,2017-09-01 00:30:00+00:00,525600.0,525600.0,525600.0,525600.0,525890.0
31,2017-09-01 00:31:00+00:00,525546.0,525546.0,525546.0,525545.0,525546.0
32,2017-09-01 00:32:00+00:00,525601.0,525601.0,525601.0,525622.0,525999.0
33,2017-09-01 00:33:00+00:00,526000.0,526000.0,526000.0,525999.0,526000.0
34,2017-09-01 00:34:00+00:00,525999.0,525999.0,525999.0,525970.0,525995.0
35,2017-09-01 00:35:00+00:00,526380.0,526380.0,526380.0,526291.0,526380.0
36,2017-09-01 00:36:00+00:00,527503.0,527503.0,527503.0,527503.0,527505.0
37,2017-09-01 00:37:00+00:00,527200.0,527200.0,527200.0,527230.0,527503.0
38,2017-09-01 00:38:00+00:00,527610.0,527610.0,527610.0,527500.0,527610.0
39,2017-09-01 00:39:00+00:00,527610.0,527610.0,527610.0,527600.0,527610.0
40,2017-09-01 00:40:00+00:00,527790.0,527790.0,527790.0,527690.0,527790.0
41,2017-09-01 00:41:00+00:00,527930.0,527930.0,527930.0,527888.0,527930.0
42,2017-09-01 00:42:00+00:00,527925.0,527925.0,527925.0,527925.0,527930.0
43,2017-09-01 00:43:00+00:00,527856.0,527856.0,527856.0,527930.0,527999.0
44,2017-09-01 00:44:00+00:00,528000.0,528000.0,528000.0,527934.0,528000.0
45,2017-09-01 00:45:00+00:00,528322.0,528322.0,528322.0,528322.0,528485.0
46,2017-09-01 00:46:00+00:00,528000.0,528000.0,528000.0,527834.0,527894.0
47,2017-09-01 00:47:00+00:00,528301.0,528301.0,528301.0,528301.0,528311.0
48,2017-09-01 00:48:00+00:00,528009.0,528009.0,528009.0,528009.0,528144.0
49,2017-09-01 00:49:00+00:00,527869.0,527869.0,527869.0,527874.0,527900.0
50,2017-09-01 00:50:00+00:00,527912.0,527912.0,527912.0,527912.0,528000.0
51,2017-09-01 00:51:00+00:00,528249.0,528249.0,528249.0,528214.0,528249.0
52,2017-09-01 00:52:00+00:00,528890.0,528890.0,528890.0,528600.0,528890.0
53,2017-09-01 00:53:00+00:00,529070.0,529070.0,529070.0,528950.0,529070.0
54,2017-09-01 00:54:00+00:00,529070.0,529070.0,529070.0,529070.0,529119.0
55,2017-09-01 00:55:00+00:00,529163.0,529163.0,529163.0,529163.0,529188.0
56,2017-09-01 00:56:00+00:00,529051.0,529051.0,529051.0,529013.0,529051.0
57,2017-09-01 00:57:00+00:00,528654.0,528654.0,528654.0,528500.0,528654.0
58,2017-09-01 00:58:00+00:00,528659.0,528659.0,528659.0,528659.0,528845.0
59,2017-09-01 00:59:00+00:00,529113.0,529113.0,529113.0,529089.0,529156.0
60,2017-09-01 01:00:00+00:00,529300.0,529300.0,529300.0,529301.0,529594.0
61,2017-09-01 01:01:00+00:00,529368.0,529368.0,529368.0,529368.0,529400.0
62,2017-09-01 01:02:00+00:00,529359.0,529359.0,529359.0,529359.0,529600.0
63,2017-09-01 01:03:00+00:00,529710.0,529710.0,529710.0,529371.0,529709.0
64,2017-09-01 01:04:00+00:00,529710.0,529710.0,529710.0,529651.0,529710.0
65,2017-09-01 01:05:00+00:00,529900.0,529900.0,529900.0,529900.0,529926.0
66,2017-09-01 01:06:00+00:00,530340.0,530340.0,530340.0,530001.0,530340.0
67,2017-09-01 01:07:00+00:00,531500.0,531500.0,531500.0,531000.0,531500.0
68,2017-09-01 01:08:00+00:00,531001.0,531001.0,531001.0,531001.0,531114.0
69,2017-09-01 01:09:00+00:00,530347.0,530347.0,530347.0,530347.0,530363.0
70,2017-09-01 01:10:00+00:00,530540.0,530540.0,530540.0,531000.0,531022.0
71,2017-09-01 01:11:00+00:00,530601.0,530601.0,530601.0,530602.0,530999.0
72,2017-09-01 01:12:00+00:00,531001.0,531001.0,531001.0,531001.0,531273.0
