,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Result,Result,Result,Result
,L買い数,勝数,最大勝,平均勝,負数,最大負,平均負,平均損益,勝率,損益,S売り数,勝数,最大勝,平均勝,負数,最大負,平均負,平均損益,勝率,損益,R総損益,ROI,総利益,総損失
0,253.0,194.0,23.53,4.74,59.0,-94.13,-9.5,1.42,76.68,359.09,266.0,179.0,37.8,4.25,87.0,-36.66,-8.6,0.04,67.29,11.79,370.88,3.71,1679.84,-1308.96
0,239.0,195.0,36.41,3.41,44.0,-25.97,-4.89,1.88,81.59,450.01,262.0,189.0,17.65,2.88,73.0,-58.22,-5.53,0.54,72.14,140.33,590.35,5.9,1209.38,-619.03
0,263.0,201.0,51.24,6.74,62.0,-94.55,-14.49,1.74,76.43,457.18,259.0,177.0,29.24,4.51,82.0,-73.58,-10.07,-0.1,68.34,-27.09,430.08,4.3,2153.86,-1723.78
0,251.0,170.0,28.69,5.07,81.0,-64.21,-9.75,0.29,67.73,72.39,259.0,174.0,28.27,4.24,85.0,-29.8,-5.37,1.09,67.18,281.07,353.46,3.53,1599.19,-1245.73
0,277.0,174.0,36.17,5.09,103.0,-33.84,-6.66,0.72,62.82,198.86,248.0,166.0,33.54,4.31,82.0,-47.65,-9.49,-0.25,66.94,-62.42,136.45,1.36,1600.85,-1464.4
0,251.0,198.0,46.28,3.31,52.0,-23.6,-4.18,1.74,78.88,437.76,295.0,203.0,21.07,2.94,92.0,-26.47,-5.38,0.34,68.81,101.38,539.14,5.39,1251.2,-712.06
0,249.0,159.0,30.46,3.52,90.0,-53.85,-8.02,-0.65,63.86,-162.58,211.0,134.0,16.06,2.89,77.0,-25.45,-6.31,-0.47,63.51,-98.4,-260.98,-2.61,947.11,-1208.09
0,287.0,219.0,14.41,2.53,68.0,-17.72,-3.12,1.19,76.31,341.38,255.0,199.0,14.89,2.32,56.0,-50.6,-4.11,0.91,78.04,232.41,573.79,5.74,1016.23,-442.44
0,251.0,193.0,42.97,3.74,58.0,-82.36,-6.69,1.33,76.89,334.37,280.0,195.0,14.5,3.03,85.0,-58.92,-4.93,0.62,69.64,172.36,506.72,5.07,1313.57,-806.85
0,262.0,197.0,27.65,5.61,65.0,-46.49,-11.48,1.37,75.19,358.38,249.0,163.0,41.7,4.67,86.0,-52.54,-7.62,0.43,65.46,106.04,464.42,4.64,1865.88,-1401.46
0,237.0,167.0,110.57,5.5,70.0,-76.92,-10.57,0.76,70.46,179.05,246.0,157.0,30.07,4.27,89.0,-76.43,-7.34,0.07,63.82,16.54,195.59,1.96,1588.49,-1392.9
