,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Result,Result,Result,Result
,L買い数,勝数,最大勝,平均勝,負数,最大負,平均負,平均損益,勝率,損益,S売り数,勝数,最大勝,平均勝,負数,最大負,平均負,平均損益,勝率,損益,R総損益,ROI,総利益,総損失
0,269.0,239.0,46.11,6.12,30.0,-57.63,-7.15,4.64,88.85,1249.2,257.0,220.0,34.99,5.7,37.0,-133.41,-19.08,2.13,85.6,546.98,1796.18,17.96,2716.74,-920.56
0,237.0,167.0,57.15,5.61,70.0,-69.96,-7.41,1.76,70.46,417.95,263.0,179.0,33.48,4.6,84.0,-127.59,-11.88,-0.66,68.06,-174.1,243.85,2.44,1760.67,-1516.83
0,269.0,190.0,62.96,8.6,79.0,-118.25,-15.42,1.55,70.63,416.13,259.0,169.0,44.58,5.67,90.0,-64.82,-10.25,0.14,65.25,35.36,451.49,4.51,2592.08,-2140.59
0,266.0,181.0,31.71,4.27,85.0,-48.74,-9.67,-0.18,68.05,-48.47,248.0,158.0,33.89,3.64,90.0,-50.67,-7.57,-0.43,63.71,-107.06,-155.53,-1.56,1348.03,-1503.56
0,283.0,198.0,26.36,3.71,85.0,-26.89,-6.34,0.69,69.96,195.11,236.0,143.0,16.79,3.09,92.0,-64.41,-7.47,-1.04,60.59,-245.5,-50.4,-0.5,1175.91,-1226.31
0,285.0,236.0,18.57,3.58,47.0,-21.18,-4.76,2.18,82.81,620.74,266.0,191.0,51.03,3.52,75.0,-115.23,-9.14,-0.05,71.8,-13.84,606.89,6.07,1515.87,-908.98
0,249.0,162.0,34.26,4.78,87.0,-78.62,-10.56,-0.58,65.06,-144.52,232.0,147.0,16.61,3.5,85.0,-74.88,-8.15,-0.77,63.36,-177.88,-322.41,-3.22,1289.23,-1611.64
0,294.0,227.0,23.86,2.62,67.0,-27.2,-4.81,0.93,77.21,272.18,249.0,169.0,24.0,2.59,80.0,-34.97,-4.75,0.23,67.87,57.75,329.93,3.3,1032.13,-702.21
0,262.0,198.0,25.59,3.51,64.0,-60.82,-5.92,1.2,75.57,315.52,288.0,193.0,33.65,3.34,95.0,-26.69,-5.69,0.36,67.01,103.69,419.22,4.19,1339.15,-919.94
0,256.0,174.0,45.79,7.9,82.0,-54.69,-10.38,2.05,67.97,524.04,261.0,171.0,41.94,6.07,90.0,-93.79,-12.3,-0.27,65.52,-69.61,454.43,4.54,2412.87,-1958.44
0,248.0,162.0,36.2,4.49,86.0,-82.44,-7.83,0.22,65.32,53.95,209.0,135.0,27.29,4.07,74.0,-49.93,-7.76,-0.12,64.59,-24.42,29.53,0.3,1276.88,-1247.36
