,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Short,Short,Short,Short,Short,Short,Short,Short,Short,Short,Result,Result,Result,Result
,L買い数,勝数,最大勝,平均勝,負数,最大負,平均負,平均損益,勝率,損益,S売り数,勝数,最大勝,平均勝,負数,最大負,平均負,平均損益,勝率,損益,R総損益,ROI,総利益,総損失
0,261.0,226.0,47.58,6.64,35.0,-28.89,-6.07,4.94,86.59,1289.22,285.0,230.0,55.63,6.23,54.0,-142.55,-16.46,1.91,80.7,545.22,1834.44,18.34,2935.79,-1101.35
0,270.0,223.0,94.1,8.52,47.0,-124.61,-9.41,5.4,82.59,1457.16,234.0,177.0,36.44,6.4,57.0,-166.53,-20.65,-0.19,75.64,-44.29,1412.88,14.13,3032.15,-1619.27
0,260.0,192.0,198.85,12.9,68.0,-140.27,-23.07,3.5,73.85,908.85,267.0,165.0,143.8,9.36,102.0,-118.49,-15.11,0.01,61.8,3.46,912.31,9.12,4022.45,-3110.15
0,275.0,185.0,26.77,5.64,90.0,-40.96,-7.85,1.22,67.27,335.66,239.0,155.0,16.84,4.18,84.0,-50.87,-8.49,-0.27,64.85,-64.43,271.23,2.71,1691.22,-1419.99
0,283.0,194.0,53.47,4.87,89.0,-67.32,-7.94,0.84,68.55,238.54,246.0,158.0,19.23,3.43,88.0,-42.62,-7.16,-0.36,64.23,-87.59,150.95,1.51,1488.18,-1337.22
0,263.0,211.0,113.84,5.15,51.0,-38.12,-6.62,2.85,80.23,749.34,248.0,178.0,33.01,4.66,70.0,-169.38,-11.53,0.09,71.77,22.92,772.26,7.72,1916.82,-1144.57
0,265.0,177.0,33.1,3.44,88.0,-70.99,-8.49,-0.52,66.79,-138.81,240.0,177.0,15.55,2.83,63.0,-59.66,-6.61,0.35,73.75,83.86,-54.95,-0.55,1108.55,-1163.5
0,265.0,199.0,27.15,3.49,66.0,-29.15,-5.22,1.32,75.09,349.11,247.0,178.0,13.6,3.19,68.0,-40.86,-7.91,0.12,72.06,29.56,378.67,3.79,1260.82,-882.15
0,251.0,199.0,25.13,4.54,52.0,-72.52,-4.59,2.65,79.28,665.28,262.0,197.0,12.65,3.24,65.0,-284.1,-9.16,0.17,75.19,43.79,709.07,7.09,1543.25,-834.17
0,266.0,201.0,66.33,8.85,65.0,-76.01,-11.52,3.87,75.56,1029.32,271.0,195.0,50.07,6.87,76.0,-117.28,-21.3,-1.03,71.96,-279.05,750.28,7.5,3117.85,-2367.57
0,256.0,164.0,61.78,7.5,92.0,-108.76,-11.87,0.54,64.06,137.43,196.0,127.0,51.45,6.59,69.0,-183.28,-15.68,-1.25,64.8,-245.37,-107.94,-1.08,2065.94,-2173.88
