,機会,売買数,買い数,購入率,勝数,最大勝,平均勝,負数,最大負,平均負,平均損益,勝率,手数料,総利益,純利益,ROI,総利益,総損失
0,8929.0,68.0,34.0,0.4,16.0,352.1,90.73,18.0,-101.12,-31.46,26.04,47.06,102.0,885.43,783.43,8.85,1451.73,-566.3
0,8641.0,68.0,34.0,0.4,12.0,201.13,63.67,22.0,-47.77,-18.22,10.68,35.29,102.0,363.22,261.22,3.63,764.08,-400.87
0,8929.0,54.0,27.0,0.3,14.0,249.93,70.54,13.0,-101.1,-31.62,21.36,51.85,81.0,576.6,495.6,5.77,987.63,-411.03
0,8641.0,48.0,24.0,0.3,10.0,394.52,108.48,14.0,-194.51,-59.17,10.68,41.67,72.0,256.37,184.37,2.56,1084.79,-828.42
0,8929.0,94.0,47.0,0.5,15.0,226.81,55.21,32.0,-125.02,-33.96,-5.5,31.91,141.0,-258.62,-399.62,-2.59,828.1,-1086.72
0,8929.0,36.0,18.0,0.2,13.0,109.64,57.66,5.0,-37.75,-22.85,35.3,72.22,54.0,635.39,581.39,6.35,749.64,-114.25
0,8641.0,80.0,40.0,0.5,17.0,205.77,46.79,23.0,-84.02,-33.92,0.38,42.5,120.0,15.15,-104.85,0.15,795.37,-780.22
0,8929.0,82.0,41.0,0.5,14.0,121.1,18.45,27.0,-61.52,-17.92,-5.5,34.15,123.0,-225.44,-348.44,-2.25,258.32,-483.76
0,8641.0,46.0,23.0,0.3,11.0,134.64,45.73,12.0,-76.23,-31.89,5.23,47.83,69.0,120.38,51.38,1.2,503.03,-382.66
0,8929.0,32.0,16.0,0.2,9.0,330.26,98.54,7.0,-253.59,-72.41,23.75,56.25,48.0,380.01,332.01,3.8,886.87,-506.86
0,8065.0,34.0,17.0,0.2,9.0,201.0,95.57,8.0,-225.02,-67.98,18.61,52.94,51.0,316.35,265.35,3.16,860.16,-543.81
