,機会,売買数,買い数,購入率,勝数,最大勝,平均勝,負数,最大負,平均負,平均損益,勝率,手数料,総利益,純利益,ROI,総利益,総損失
0,8929.0,56.0,28.0,0.3,14.0,671.81,69.22,14.0,-186.6,-32.43,18.39,50.0,84.0,515.06,431.06,5.15,969.06,-454.0
0,8641.0,76.0,38.0,0.4,17.0,237.15,74.8,21.0,-155.6,-38.38,12.25,44.74,114.0,465.68,351.68,4.66,1271.68,-806.0
0,8929.0,70.0,35.0,0.4,12.0,552.21,82.42,23.0,-330.82,-49.68,-4.39,34.29,105.0,-153.5,-258.5,-1.54,989.07,-1142.58
0,8641.0,48.0,24.0,0.3,13.0,238.92,64.1,11.0,-145.09,-40.45,16.18,54.17,72.0,388.42,316.42,3.88,833.32,-444.9
0,8929.0,72.0,36.0,0.4,13.0,111.44,46.53,23.0,-117.35,-29.1,-1.79,36.11,108.0,-64.46,-172.46,-0.64,604.83,-669.29
0,8929.0,46.0,23.0,0.3,11.0,215.26,64.03,12.0,-99.75,-28.86,15.57,47.83,69.0,358.07,289.07,3.58,704.35,-346.28
0,8641.0,80.0,40.0,0.5,16.0,260.08,58.84,24.0,-142.35,-33.93,3.17,40.0,120.0,126.99,6.99,1.27,941.38,-814.39
0,8929.0,68.0,34.0,0.4,13.0,157.66,32.98,21.0,-114.96,-28.22,-4.82,38.24,102.0,-163.98,-265.98,-1.64,428.7,-592.68
0,8641.0,58.0,29.0,0.3,16.0,158.87,41.41,13.0,-157.04,-27.41,10.56,55.17,87.0,306.22,219.22,3.06,662.62,-356.39
0,8929.0,46.0,23.0,0.3,11.0,450.2,155.86,12.0,-140.6,-64.89,40.69,47.83,69.0,935.79,866.79,9.36,1714.49,-778.7
0,8065.0,60.0,30.0,0.4,12.0,173.98,50.66,18.0,-114.42,-33.12,0.39,40.0,90.0,11.74,-78.26,0.12,607.92,-596.17
