,機会,売買数,買い数,購入率,勝数,最大勝,平均勝,負数,最大負,平均負,平均損益,勝率,手数料,総利益,純利益,ROI,総利益,総損失
0,8929.0,58.0,29.0,0.3,12.0,997.37,140.68,17.0,-79.83,-21.62,45.54,41.38,87.0,1320.64,1233.64,13.21,1688.13,-367.49
0,8641.0,58.0,29.0,0.3,9.0,1132.34,223.93,20.0,-286.78,-38.19,43.16,31.03,87.0,1251.66,1164.66,12.52,2015.4,-763.73
0,8929.0,48.0,24.0,0.3,13.0,611.99,153.75,11.0,-180.0,-57.51,56.92,54.17,72.0,1366.16,1294.16,13.66,1998.79,-632.63
0,8641.0,58.0,29.0,0.3,12.0,123.32,58.95,17.0,-250.6,-59.36,-10.4,41.38,87.0,-301.64,-388.64,-3.02,707.4,-1009.05
0,8929.0,66.0,33.0,0.4,14.0,151.24,38.21,19.0,-125.05,-42.11,-8.03,42.42,99.0,-265.15,-364.15,-2.65,534.92,-800.07
0,8929.0,66.0,33.0,0.4,13.0,245.4,70.4,20.0,-136.86,-31.06,8.91,39.39,99.0,294.06,195.06,2.94,915.25,-621.19
0,8641.0,66.0,33.0,0.4,13.0,144.22,47.21,20.0,-92.98,-32.59,-1.15,39.39,99.0,-38.0,-137.0,-0.38,613.75,-651.75
0,8929.0,66.0,33.0,0.4,12.0,90.83,30.84,21.0,-121.54,-23.62,-3.81,36.36,99.0,-125.88,-224.88,-1.26,370.05,-495.93
0,8641.0,50.0,25.0,0.3,12.0,101.46,32.13,13.0,-106.41,-29.89,-0.12,48.0,75.0,-2.98,-77.98,-0.03,385.57,-388.55
0,8929.0,58.0,29.0,0.3,13.0,2233.75,283.41,16.0,-85.02,-41.6,104.09,44.83,87.0,3018.67,2931.67,30.19,3684.33,-665.66
0,8065.0,80.0,40.0,0.5,13.0,527.19,81.27,27.0,-101.47,-37.85,0.87,32.5,120.0,34.64,-85.36,0.35,1056.5,-1021.87
